landunit,attributename,rating_class,rating_value,soils_metadata
T9981 Fld3,Soil Organic Carbon Stock,Moderate,4,"ND001 2018-09-12 19:21:50 | SD105 2018-09-12 23:49:29"
T9981 Fld4,Soil Organic Carbon Stock,Moderate,4,"ND001 2018-09-12 19:21:50"
