aoiid,landunit,landunit_acres,SOCSTOCK_0_5_Weighted_Average,SOCSTOCK_0_30_Weighted_Average,SOCSTOCK_0_150_Weighted_Average
1,T9981 Fld3,328.95,1.10,38.96,112.82
2,T9981 Fld4,318.72,1.08,37.09,114.50
